1|Incheon<1:4|Dongincheon>
Incheon Subway Line 1|Bupyeong-gu Office<Incheon Subway Line 1:2|Galsan,Incheon Subway Line 1:2|Bupyeong Market>
Incheon Subway Line 1|Bupyeong Market<Incheon Subway Line 1:2|Bupyeong-gu Office,Incheon Subway Line 1:2|Bupyeong>
Incheon Subway Line 1|Bupyeong<Incheon Subway Line 1:2|Bupyeong Market,Incheon Subway Line 1:2|Dongsu>
Incheon Subway Line 1|Dongsu<Incheon Subway Line 1:2|Bupyeong,Incheon Subway Line 1:2|Bupyeongsamgeori>
Incheon Subway Line 1|Bupyeongsamgeori<Incheon Subway Line 1:2|Dongsu,Incheon Subway Line 1:2|Ganseogogeori>
Incheon Subway Line 1|Ganseogogeori<Incheon Subway Line 1:2|Bupyeongsamgeori,Incheon Subway Line 1:3|Incheon City Hall>
Incheon Subway Line 1|Incheon City Hall<Incheon Subway Line 1:3|Ganseogogeori,Incheon Subway Line 1:2|Arts Center>
Incheon Subway Line 1|Arts Center<Incheon Subway Line 1:2|Incheon City Hall,Incheon Subway Line 1:2|Incheon Bus Terminal>
Incheon Subway Line 1|Incheon Bus Terminal<Incheon Subway Line 1:2|Arts Center,Incheon Subway Line 1:2|Munhak Sports Complex>
Incheon Subway Line 1|Munhak Sports Complex<Incheon Subway Line 1:2|Incheon Bus Terminal,Incheon Subway Line 1:2|Seonhak>
Incheon Subway Line 1|Seonhak<Incheon Subway Line 1:2|Munhak Sports Complex,Incheon Subway Line 1:2|Sinyeonsu>
Incheon Subway Line 1|Sinyeonsu<Incheon Subway Line 1:2|Seonhak,Incheon Subway Line 1:2|Woninjae>
Incheon Subway Line 1|Woninjae<Incheon Subway Line 1:2|Sinyeonsu,Incheon Subway Line 1:2|Dongchun>
Incheon Subway Line 1|Dongchun<Incheon Subway Line 1:2|Woninjae,Incheon Subway Line 1:2|Dongmak>
Incheon Subway Line 1|Dongmak<Incheon Subway Line 1:2|Dongchun>
